model_id,system_id,model_class,response,spp,region_code,region,data,year,authors,compiler,notes,status,test date,tester,data_ref,formula,b0,b1,b2,b3,b4,b5,b6,b7,b8,n,r2_pd,syx_pd,r2_proj,syx_proj,x1,x2,x3,x4,x5,predictor_spec_path,fit_object_path,vcov_path,serializer,pkg,pkg_version,r_version,lightened,comp_token,bias_flag,ht_unit,source_id,voleq,spcd,forest,district,nvel_out
BRN017AGT11D,,closed_form,bm_agt,abies.grandis,pnw,02,NBEL,,Brown 1978,,Whole tree (aboveground),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",exp(b0 + b1*log(dbh*b5) + b2*log(ht*b6)) * b7 * b8,-2.876,0,2.175,0,0,1,1,1,1,42,0.9,,,,12,,0,IN,LB,,,,,,,,,AGT,"",FT,21,,,,,
AFF017BRD01D,,closed_form,bm_brd,abies.grandis,pnw,01,NBEL,,Affleck 2019,,Branches dead,active,,,"Affleck, D.L.R. 2019. Aboveground biomass equations for the predominant conifer species of the Inland Northwest USA. Forest Ecology and Management 432 (2019) 179–188",(b0*(dbh*b5)^b1*(ht*b6)^b2) * b7,0.002828,0.8606,0,0,0,2.54,0.3048,2.20462,1,73,0,,,,16,5,0,CM,KG,,,,,,,,,BRD,"",M,216,,,,,
BRN017CRW01D,,closed_form,bm_crw,abies.grandis,pnw,02,NBEL,,Brown 1978,,Crown (branches + foliage + twigs),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",exp(b0 + b1*(dbh*b5) + b2*(log((dbh*b5)^b3)) + b4*(ht*b6)) * b7 * b8,1.0152,0,1.6839,1,0,1,1,1,1,15,0.94,,,,2,1,12,IN,LB,,,,,,,,,CRW,no,NA,21,,,,,
BRN017DCR01D,,closed_form,bm_dcr,abies.grandis,pnw,02,NBEL,,Brown 1978,,Dead crown (branches + foliage + twigs),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",exp(b0 + b1*(dbh*b5) + b2*(log((dbh*b5)^b3)) + b4*(ht*b6)) * b7 * b8,-2.6214,0,2.5492,1,0,1,1,1,1,15,0.83,,,,2,1,12,IN,LB,,,,,,,,,DCR,no,NA,21,,,,,
BRN017DCR02D,,closed_form,bm_dcr,abies.grandis,pnw,02,NBEL,,Brown 1978,,Dead crown (branches + foliage + twigs),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",exp(b0 + b1*(dbh*b5) + b2*(log((dbh*b5)^b3)) + b4*(ht*b6)) * b7 * b8,-5.3154,0,3.5638,1,0,1,1,1,1,22,0.93,,,,2,1,20,IN,LB,,,,,,,,,DCR,"",NA,21,,,,,
BRN017DCR11D,,closed_form,bm_dcr,abies.grandis,pnw,02,NBEL,,Brown 1978,,Dead crown (branches + foliage + twigs),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",(b0 + b1*(dbh*b5)^2*(ht*b6) + b2*(dbh*b5)^3 + b3*(dbh*b5)*(ht*b6)) * b7,1.36,-0.003564,0.04371,0,0,1,1,1,1,22,0.93,,,,11,1,20,IN,LB,,,,,,,,,DCR,no,FT,21,,,,,
BRN017LCR01D,,closed_form,bm_lcr,abies.grandis,pnw,02,NBEL,,Brown 1978,,Live crown (branches + foliage + twigs),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",exp(b0 + b1*(dbh*b5) + b2*(log((dbh*b5)^b3)) + b4*(ht*b6)) * b7 * b8,1.0144,0,1.6156,1,0,1,1,1,1,15,0.92,,,,2,1,12,IN,LB,,,,,,,,,LCR,no,NA,21,,,,,
BRN017LCR02D,,closed_form,bm_lcr,abies.grandis,pnw,02,NBEL,,Brown 1978,,Live crown (branches + foliage + twigs),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",exp(b0 + b1*(dbh*b5) + b2*(log((dbh*b5)^b3)) + b4*(ht*b6)) * b7 * b8,1.3094,0,1.6076,1,0,1,1,1,1,35,0.95,,,,2,1,40,IN,LB,,,,,,,,,LCR,no,NA,21,,,,,
BRN017LCR11D,,closed_form,bm_lcr,abies.grandis,pnw,02,NBEL,,Brown 1978,,Live crown (branches + foliage + twigs),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",(b0 + b1*(ht*b6) + b2*(ht*b6)^2) * b7,0,0.4284,0,0,0,1,1,1,1,12,0.79,,,,15,,0,IN,LB,,,,,,,,,LCR,"",FT,21,,,,,
BRN017LCR12D,,closed_form,bm_lcr,abies.grandis,pnw,02,NBEL,,Brown 1978,,Live crown (branches + foliage + twigs),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",(b0 + b1*(ht*b6) + b2*(ht*b6)^2) * b7,0,0,0.0538,0,0,1,1,1,1,9,0.85,,,,15,,0,IN,LB,,,,,,,,,LCR,"",FT,21,,,,,
BRN017STT01D,,closed_form,bm_stt,abies.grandis,pnw,02,NBEL,,Brown 1978,,Stem (wood + bark),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",(b0 + b1*(dbh*b5) + b2*(dbh*b5)^2 + b3*(dbh*b5)^3 + b4*(dbh*b5)*(ht*b6)) * b7,0.62,0,0.8024,0.1724,0,1,1,1,1,12,0.99,,,,5,0,4,IN,LB,,,,,,,,,STT,no,NA,21,,,,,
BRN017STT02D,,closed_form,bm_stt,abies.grandis,pnw,02,NBEL,,Brown 1978,,Stem (wood + bark),active,,,"Brown, J. 1978. Weight and density of crowns of Rocky Mountain conifers. Res. Pap. INT-197. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",(b0 + b1*(dbh*b5) + b2*(dbh*b5)^b3 + b4*(dbh*b5)^2*(ht*b6)) * b7,-1.63,0,2.172,2,0,1,1,1,1,8,0.87,,,,4,0,4,IN,LB,,,,,,,,,STT,no,NA,21,,,,,
